LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002604292-0003-4,PIE SQUARED PIZZA LLC,PIZZA REV,6439 CANOGA AVENUE,WOODLAND HILLS,91367-2408,6439 CANOGA 91367-2408,2535 TOWNSGATE ROAD SUITE #101,THOUSAND OAKS,91361-5967,722110,Full-service restaurants,3,08/08/2012,,"(34.1873, -118.5975)"
0000696130-0001-1,CALIFORNIA PIZZA KITCHEN INC,,11677 SAN VICENTE BLVD #215,LOS ANGELES,90049-5128,11677 SAN VICENTE 90049-5128,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,11,06/23/1988,,"(34.0538, -118.4647)"
0002267573-0001-8,A & O PIZZA INC,BIG MAMA'S & PAPA'S PIZZERIA,14419 SHERMAN WAY,VAN NUYS,91405-2341,14419 SHERMAN 91405-2341,,,,722110,Full-service restaurants,2,08/13/2007,,"(34.2012, -118.4469)"
0002375344-0041-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT - 26188,22323 SHERMAN WAY,CANOGA PARK,91303-1002,22323 SHERMAN 91303-1002,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,3,08/25/2009,,"(34.201, -118.6128)"
0002375344-0055-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26230,5212 WHITSETT AVENUE,NORTH HOLLYWOOD,91607-2407,5212 WHITSETT 91607-2407,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,2,08/25/2009,,"(34.165, -118.4052)"
0002375344-0012-8,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26149,718 S LOS ANGELES STREET #C,LOS ANGELES,90014-2137,718 LOS ANGELES 90014-2137,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,14,08/25/2009,,"(34.0428, -118.251)"
0002753474-0001-6,CUTTER'S PIZZA,,19014 VENTURA BLVD,TARZANA,91356-3214,19014 VENTURA 91356-3214,,,,722110,Full-service restaurants,3,01/01/2014,,"(34.1725, -118.5475)"
0002424980-0001-4,BRAVO PIZZA & SUB LLC,,5142 HOLLYWOOD BLVD,LOS ANGELES,90027-6106,5142 HOLLYWOOD 90027-6106,,,,722110,Full-service restaurants,13,01/10/2009,,"(34.1017, -118.3021)"
0002593113-0001-0,DEL REY PIZZA LLC,THE GOOD PIZZA,8115 W MANCHESTER AVENUE,PLAYA DEL REY,90293-8211,8115 MANCHESTER 90293-8211,,,,722110,Full-service restaurants,11,01/12/2012,,"(33.9587, -118.4376)"
0002733069-0001-0,FERNANDAS NY PIZZA INC,FERNANDAS NY PIZZA,10604 VENTURA BLVD,STUDIO CITY,91604-3536,10604 VENTURA 91604-3536,,,,722211,Limited-service eating places,2,06/14/2013,,"(34.1374, -118.3635)"
0002369425-0001-1,LUCIFER PIZZA LLC,LUCIFERS PIZZA,1958 HILLHURST AVENUE,LOS ANGELES,90027-2722,1958 HILLHURST 90027-2722,POST OFFICE BOX #691518,LOS ANGELES,90069-9518,722211,Limited-service eating places,4,06/01/2008,,"(34.1069, -118.2874)"
0000116820-0002-5,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #8173,5524 YORK BLVD,LOS ANGELES,90042-2404,5524 YORK 90042-2404,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722110,Full-service restaurants,14,07/17/2006,,"(34.1195, -118.1973)"
0002757682-0001-6,BLAZING STONE PIZZA LLC,BLAZING STONE PIZZA,3501 MONTEREY ROAD,LOS ANGELES,90032-1906,3501 MONTEREY 90032-1906,,,,722110,Full-service restaurants,14,09/20/2014,,"(34.0851, -118.1874)"
0002375344-0008-0,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 27613,4207 BEVERLY BLVD,LOS ANGELES,90004-4415,4207 BEVERLY 90004-4415,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,10,08/25/2009,,"(34.0762, -118.3005)"
0000116820-0007-6,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #7784,11674 VENTURA BLVD,STUDIO CITY,91604-2613,11674 VENTURA 91604-2613,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722211,Limited-service eating places,2,09/01/2011,,"(34.141, -118.3869)"
0002535150-0001-7,TOPANGA PIZZA & CAFE INC,,22994 VENTURA BLVD,WOODLAND HILLS,91364-1205,22994 VENTURA 91364-1205,,,,722110,Full-service restaurants,3,01/01/2011,,"(34.1647, -118.6271)"
0002737409-0001-0,MUSE PIZZA MALL LLC,JOE'S PIZZA CENTURY CITY AND JOE'S PIZZA FASHION SQUARE,10250 SANTA MONICA BLVD UNIT #FC7,LOS ANGELES,90067-6616,10250 SANTA MONICA 90067-6616,1709 WILCOX AVENUE,LOS ANGELES,90028-5103,722110,Full-service restaurants,5,01/01/2013,,"(34.0594, -118.4208)"
0000825597-0001-7,PATTYS PRESTO PIZZA INC,PATTYS PIZZA,13381 BEACH AVENUE,MARINA DEL REY,90292-5621,13381 BEACH 90292-5621,,,,424400,Grocery & related products,11,06/10/1998,,"(33.9917, -118.4434)"
0002375344-0023-3,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26180,1562 W PICO BLVD #`,LOS ANGELES,90015-2436,1562 PICO 90015-2436,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,1,08/25/2009,,"(34.0443, -118.2761)"
0000116820-0009-2,"E. M.  PIZZA, INC.",DOMINO'S PIZZA,15245 ROSCOE BLVD,PANORAMA CITY,91402-4401,15245 ROSCOE 91402-4401,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722110,Full-service restaurants,6,09/01/2011,,"(34.2214, -118.4644)"
0002375344-0053-5,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT,5948 LANKERSHIM BLVD,NORTH HOLLYWOOD,91601-1007,5948 LANKERSHIM 91601-1007,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,2,08/25/2009,,"(34.1786, -118.3829)"
0002629388-0002-7,MAR PIZZA INC,DOMINO'S PIZZA,5151 W PICO BLVD,LOS ANGELES,90019-4149,5151 PICO 90019-4149,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,722211,Limited-service eating places,10,07/30/2012,,"(34.048, -118.3504)"
0002561072-0001-5,BEST NEW YORK PIZZA INC,,6400 HOLLYWOOD BLVD,LOS ANGELES,90028-6204,6400 HOLLYWOOD 90028-6204,,,,722211,Limited-service eating places,13,04/01/2011,,"(34.1016, -118.3295)"
0000532043-0001-8,PRIMA PIZZA INC,DOMINO PIZZA,2193 WHITTIER BLVD,LOS ANGELES,90023-1250,2193 WHITTIER 90023-1250,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722211,Limited-service eating places,14,09/09/1986,,"(34.0358, -118.2189)"
0000161086-0001-6,T M PIZZA INC,DOMINOS PIZZA,2101 W CENTURY BLVD,LOS ANGELES,90047-4007,2101 CENTURY 90047-4007,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,722110,Full-service restaurants,0,02/16/1995,,"(33.9454, -118.316)"
0002757215-0001-1,TU PANYOU PIZZA #2 CORP,,3525 W 3RD STREET UNIT #4,LOS ANGELES,90020-2027,3525 3RD 90020-2027,,,,722300,Special food services (including food service contractors & caterers),10,04/10/2014,,"(34.069, -118.2924)"
0000116820-0003-3,"E. M.  PIZZA, INC.",DOMINO'S PIZZA STORE #8289,3502 W SUNSET BLVD,LOS ANGELES,90026-2106,3502 SUNSET 90026-2106,416 N GLENDALE AVENUE #A,GLENDALE,91206-3326,722110,Full-service restaurants,13,08/12/2003,,"(34.0887, -118.2764)"
0000291355-0001-0,MNM PIZZA LLC,DOMINOS PIZZA 7889,4467 VAN NUYS BLVD,SHERMAN OAKS,91403-2911,4467 VAN NUYS 91403-2911,5737 KANAN ROAD #439,AGOURA HILLS,91301-1601,722110,Full-service restaurants,4,11/22/1995,,"(34.1526, -118.4486)"
0002549700-0001-3,DOWNTOWN PIZZA LLC,PIZZERIA URBANO,630 W 6TH STREET SUITE #116BC,LOS ANGELES,90017-3254,630 6TH 90017-3254,,,,722300,Special food services (including food service contractors & caterers),9,03/01/2011,,"(34.0493, -118.256)"
0002375344-0029-2,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26194,19417 3/4 VICTORY BLVD,RESEDA,91335-6611,19417 VICTORY 91335-6611,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,3,08/25/2009,,"(34.1865, -118.5563)"
0000896302-0001-7,CALIFORNIA PIZZA KITCHEN INC,,16101 VENTURA BLVD,ENCINO,91436-2500,16101 VENTURA 91436-2500,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,5,04/01/1992,,"(34.1563, -118.4836)"
0002375344-0015-2,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26158,4356 LEIMERT BLVD,LOS ANGELES,90008-5202,4356 LEIMERT 90008-5202,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,10,08/25/2009,,"(34.0048, -118.33)"
0002375344-0050-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26205,5130 HUNTINGTON DRIVE S,LOS ANGELES,90032-1703,5130 HUNTINGTON 90032-1703,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,14,08/25/2009,,"(34.089, -118.1712)"
0002375344-0082-9,SOUTHERN CALIFORNIA PIZZA CO LLC,,1780 S LA CIENEGA BLVD,LOS ANGELES,90035-4602,1780 LA CIENEGA 90035-4602,POST OFFICE BOX #638,NIXA,65714-0638,722110,Full-service restaurants,10,07/31/2012,,"(34.0449, -118.3767)"
0002469406-0001-3,ULTIMO PIZZA INC,,808 E WINDSOR ROAD UNIT #6,GLENDALE,91205-2441,808 WINDSOR 91205-2441,,,,722110,Full-service restaurants,0,10/01/2009,,"(34.1371, -118.2451)"
0002629388-0001-9,MAR PIZZA INC,DOMINO'S PIZZA,2815 S ROBERTSON BLVD,LOS ANGELES,90034-2405,2815 ROBERTSON 90034-2405,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,722211,Limited-service eating places,10,07/30/2012,,"(34.0363, -118.3889)"
0002706342-0001-8,JC'S FAMOUS PIZZA,,14059 VICTORY BLVD,VAN NUYS,91401-2225,14059 VICTORY 91401-2225,,,,722110,Full-service restaurants,2,01/01/2005,,"(34.1866, -118.4393)"
0002375344-0018-7,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26166,4351 S CENTRAL AVENUE,LOS ANGELES,90011-3526,4351 CENTRAL 90011-3526,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,9,08/25/2009,,"(34.0048, -118.2564)"
0000619071-0001-3,LA PIZZA LOCA INC,LA PIZZA LOCA INC #7,2924 E CESAR E CHAVEZ AVENUE UNIT #7,LOS ANGELES,90033-3110,2924 CESAR E CHAVEZ 90033-3110,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722110,Full-service restaurants,14,11/01/1987,,"(34.0439, -118.2013)"
0002098725-0001-1,LENZINI'S 2-4-1 PIZZA,,3500 OVERLAND AVENUE UNIT #120,LOS ANGELES,90034-5564,3500 OVERLAND 90034-5564,,,,,,5,01/02/2006,,"(34.0247, -118.4116)"
0002375344-0049-7,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26202,12447 VICTORY BLVD,NORTH HOLLYWOOD,91606-3139,12447 VICTORY 91606-3139,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,2,08/25/2009,,"(34.1866, -118.4044)"
0002218097-0001-8,"MR PIZZA WESTERN, INC",,3881 WILSHIRE BLVD UNIT #B,LOS ANGELES,90010-3202,3881 WILSHIRE 90010-3202,,,,,,10,12/15/2006,,"(34.0617, -118.3113)"
0002752696-0001-1,TU PANYOU PIZZA #1 CORP,,3129 W 8TH STREET,LOS ANGELES,90005-1902,3129 8TH 90005-1902,,,,722300,Special food services (including food service contractors & caterers),10,04/10/2014,,"(34.0577, -118.2952)"
0002677722-0001-0,LA CIENEGA PIZZA COMPANY INC,PAMORE PIZZA,3340 S LA CIENEGA BLVD,LOS ANGELES,90016-3115,3340 LA CIENEGA 90016-3115,4140 WORKMAN MILL ROAD UNIT #9,WHITTIER,90601-4801,722110,Full-service restaurants,10,04/01/2013,,"(34.0272, -118.372)"
0002073744-0001-4,CALIFORNIA PIZZA KITCHEN INC,CALIFORNIA PIZZA KITCHEN,9301 TAMPA AVENUE SUITE #129,NORTHRIDGE,91324-2504,9301 TAMPA 91324-2504,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,12,01/11/2006,,"(34.2391, -118.5535)"
0002375344-0030-6,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26195,17630 VANOWEN STREET,VAN NUYS,91406-4315,17630 VANOWEN 91406-4315,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,6,08/25/2009,,"(34.1938, -118.5174)"
0002375344-0003-9,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 024933,909 W PACIFIC COAST HIGHWAY,WILMINGTON,90744-2551,909 PACIFIC COAST 90744-2551,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,15,09/02/2008,,"(33.7905, -118.274)"
0000105435-0001-7,T & J PIZZA INC,DOMINOS PIZZA,270 S RAMPART BLVD,LOS ANGELES,90057-1404,270 RAMPART 90057-1404,270 S RAMPART BLVD,LOS ANGELES,90057-1404,722110,Full-service restaurants,13,05/14/1991,,"(34.0668, -118.2784)"
0002626960-0001-2,PIZZA BROTHERS INC,D'AMORES PIZZA,7137 WINNETKA AVENUE,WINNETKA,91306-3646,7137 WINNETKA 91306-3646,,,,722110,Full-service restaurants,3,07/20/2012,,"(34.1998, -118.5709)"
0000735335-0001-1,CALIFORNIA PIZZA KITCHEN INC,,330 S HOPE STREET,LOS ANGELES,90071-3115,330 HOPE 90071-3115,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,14,07/24/1989,,"(34.0531, -118.2528)"
0002492790-0001-1,OAK FIRE PIZZA COMPANY SO INC,OAKFIRE,13359 VENTURA BLVD,SHERMAN OAKS,91423-3912,13359 VENTURA 91423-3912,5830 FOOTHILL DRIVE,LOS ANGELES,90068-3613,722110,Full-service restaurants,4,03/01/2011,,"(34.1468, -118.4241)"
0002375344-0014-4,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26154,5101 VENICE BLVD,LOS ANGELES,90019-5230,5101 VENICE 90019-5230,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,10,08/25/2009,,"(34.0452, -118.3503)"
0002664632-0002-5,I-PIZZA TUMBY'S INC,,3329 HYDE PARK BLVD,LOS ANGELES,90043-4106,3329 HYDE PARK 90043-4106,1800 W 39TH STREET,LOS ANGELES,90062-1020,722110,Full-service restaurants,8,07/01/2013,,"(33.9806, -118.3297)"
0000868474-0001-5,DB & M PIZZA WORLD INC,PIZZA WORLD,365 S FAIRFAX AVENUE,LOS ANGELES,90036-3124,365 FAIRFAX 90036-3124,,,,722110,Full-service restaurants,4,07/26/1991,,"(34.0702, -118.3614)"
0000116820-0008-4,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #8122,8126 SUNLAND BLVD,SUN VALLEY,91352-3948,8126 SUNLAND 91352-3948,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722110,Full-service restaurants,6,09/01/2011,,"(34.2181, -118.3698)"
0002375344-0066-7,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT - 26160,3400 E 1ST STREET,LOS ANGELES,90063-2914,3400 1ST 90063-2914,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,14,09/15/2009,,"(34.0371, -118.195)"
0000039329-0001-6,CHI CHIS PIZZA INC,LIDO PIZZA,15232 VICTORY BLVD,VAN NUYS,91411-1717,15232 VICTORY 91411-1717,9205 ALABAMA AVENUE #A,CHATSWORTH,91311-5859,722110,Full-service restaurants,6,01/01/1991,,"(34.1866, -118.4651)"
0000963237-0001-7,JC'S FAMOUS PIZZA INC,FAMOUS PIZZA,6756 TAMPA AVENUE,RESEDA,91335-5014,6756 TAMPA 91335-5014,,,,722110,Full-service restaurants,3,11/01/1998,,"(34.1932, -118.5535)"
0000797282-0001-0,M S PIZZA INC,DOMINOS PIZZA,5401 S FIGUEROA STREET #8,LOS ANGELES,90037-3760,5401 FIGUEROA 90037-3760,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,722110,Full-service restaurants,9,07/19/1990,,"(33.9932, -118.2826)"
0002375344-0048-9,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26200,4329 N FIGUEROA STREET,LOS ANGELES,90065-3013,4329 FIGUEROA 90065-3013,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,1,08/25/2009,,"(34.0949, -118.2081)"
0002375344-0043-8,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26152,1851 W SLAUSON AVENUE,LOS ANGELES,90047-1128,1851 SLAUSON 90047-1128,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,8,08/25/2009,,"(33.9891, -118.3108)"
0002604292-0005-1,PIE SQUARED PIZZA LLC,,4550 W PICO BLVD SUITE #C1-302,LOS ANGELES,90019-4232,4550 PICO 90019-4232,2535 TOWNSGATE ROAD SUITE #101,WESTLAKE VILLAGE,91361-5967,722211,Limited-service eating places,10,03/01/2014,,"(34.0487, -118.3357)"
0000116820-0001-7,"E. M.  PIZZA, INC.",DOMINO'S PIZZA,4815 VALLEY BLVD #H,LOS ANGELES,90032-3300,4815 VALLEY 90032-3300,416 N GLENDALE AVENUE UNIT #202,GLENDALE,91206-3327,722110,Full-service restaurants,14,04/04/1994,,"(34.066, -118.18)"
0002375344-0031-4,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26203,23717 VICTORY BLVD,WEST HILLS,91307-3152,23717 VICTORY 91307-3152,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,3,08/25/2009,,"(34.1866, -118.643)"
0000687930-0001-8,MS & R PIZZA INC,DOMINOS PIZZA,1740 S HOOVER STREET #D,LOS ANGELES,90006-4912,1740 HOOVER 90006-4912,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,311800,Bakeries & tortilla mfg.,1,11/20/1988,,"(34.0425, -118.2841)"
0002375344-0024-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26183,6312 W 89TH STREET,LOS ANGELES,90045-3602,6312 89TH 90045-3602,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,11,08/25/2009,,"(33.9559, -118.3964)"
0002294851-0001-3,PURGATORY PIZZA LLC,PURGATORY PIZZA,1326 E 1ST STREET,LOS ANGELES,90033-3218,1326 1ST 90033-3218,,,,722110,Full-service restaurants,14,11/28/2007,,"(34.0475, -118.2263)"
0000116820-0011-4,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #7804,902 N LA CIENEGA BLVD,LOS ANGELES,90069-4710,902 LA CIENEGA 90069-4710,416 N GLENDALE AVENUE SUITE #202,GLENDALE,91206-3327,722110,Full-service restaurants,5,07/30/2012,,"(34.0871, -118.3764)"
0002375344-0002-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 024932,650 S GAFFEY STREET,SAN PEDRO,90731-3027,650 GAFFEY 90731-3027,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,15,08/19/2008,,"(33.7381, -118.2923)"
0002375344-0034-9,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26219,14900 BURBANK BLVD,SHERMAN OAKS,91411-3667,14900 BURBANK 91411-3667,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,4,08/25/2009,,"(34.1721, -118.4574)"
0000552798-0001-9,D & L PIZZA INC,DOMINO'S PIZZA,8401 VAN NUYS BLVD #74,PANORAMA CITY,91402-3375,8401 VAN NUYS 91402-3375,330 6TH STREET SUITE #103,REDLANDS,92374-3312,722110,Full-service restaurants,6,05/01/1985,,"(34.2237, -118.4488)"
0000643866-0001-3,FRATELLIS PIZZA INC,FRATELLIS PIZZA,20929 VENTURA BLVD SUITE #11,WOODLAND HILLS,91364-0801,20929 VENTURA 91364-0801,,,,722110,Full-service restaurants,3,04/11/1988,,"(34.1664, -118.5889)"
0002670307-0001-1,FIREWORKS PIZZA COMPANY INC,,1905 LINCOLN BLVD,VENICE,90291-3909,1905 LINCOLN 90291-3909,23801 CALABASAS ROAD #2026,CALABASAS,91302-1664,452000,General merchandise stores,11,01/01/2012,,"(33.9959, -118.4567)"
0002604292-0004-2,PIE SQUARED PIZZA LLC,PIZZA REV,5608 VAN NUYS BLVD,VAN NUYS,91401-4602,5608 VAN NUYS 91401-4602,2535 TOWNSGATE ROAD SUITE #101,WESTLAKE VILLAGE,91361-5967,722110,Full-service restaurants,4,02/01/2014,,"(34.1723, -118.4486)"
0002677722-0002-8,LA CIENEGA PIZZA COMPANY INC,PAMORE PIZZA,2190 W WASHINGTON BLVD UNIT #E,LOS ANGELES,90018-1534,2190 WASHINGTON 90018-1534,4140 WORKMAN MILL ROAD APARTMENT #9,WHITTIER,90601-4801,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,04/01/2013,,"(34.0399, -118.3087)"
0002375344-0038-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT - 26218,2930 COLORADO BLVD,LOS ANGELES,90041-1012,2930 COLORADO 90041-1012,POST OFFICE BOX #638,NIXA,65714-0638,722110,Full-service restaurants,14,08/25/2009,,"(34.1427, -118.2284)"
0000075208-0001-2,RAFFALLO'S PIZZA LA BREA CORP,RAFFALLO'S PIZZA,1657 N LA BREA AVENUE,LOS ANGELES,90028-6901,1657 LA BREA 90028-6901,,,,722110,Full-service restaurants,13,06/16/1993,,"(34.1012, -118.345)"
0000116820-0006-8,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #7743,1759 COLORADO BLVD,LOS ANGELES,90041-1348,1759 COLORADO 90041-1348,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722211,Limited-service eating places,14,07/17/2006,,"(34.1394, -118.206)"
0000739852-0002-2,COMBO'S PIZZA INC,COMBOS NEW YORK STYLE PIZZA,6760 HOLLYWOOD BLVD,LOS ANGELES,90028-4622,6760 HOLLYWOOD 90028-4622,,,,722110,Full-service restaurants,13,01/01/2010,,"(34.1015, -118.3379)"
0000301598-0001-2,FIREWORKS PIZZA LLC,,108 W 2ND STREET #105,LOS ANGELES,90012-1585,108 2ND 90012-1585,1905 LINCOLN BLVD,VENICE,90291-3909,722110,Full-service restaurants,14,07/01/2004,,"(34.0511, -118.2447)"
0000441650-0001-1,PIZZA MAYVEN INC,,140 N LA BREA AVENUE,LOS ANGELES,90036-2912,140 LA BREA 90036-2912,,,,,,5,03/21/1983,,"(34.0746, -118.344)"
